form_diff_normalized,elo_diff_normalized,h2h_score,home_advantage,matchday_normalized,season_period_numeric,shots_diff_normalized,corners_diff_normalized,points_diff_normalized,position_diff_normalized
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.0,0.0,0.5,0.5,0.5,0.5
0.5,0.5,0.5,1,0.027027027027027,0.0,0.467741935483871,0.5357142857142857,0.5,0.375
0.3333333333333333,0.49,0.5,1,0.027027027027027,0.0,0.4032258064516129,0.3928571428571428,0.4915254237288136,0.225
0.5,0.5,0.5,1,0.027027027027027,0.0,0.2258064516129032,0.0357142857142857,0.5,0.45
1.0,0.52,0.5,1,0.027027027027027,0.0,0.5,0.5357142857142857,0.5254237288135594,0.7
0.5,0.5,0.5,1,0.027027027027027,0.0,0.5483870967741935,0.3928571428571428,0.5,0.475
0.0,0.48,0.5,1,0.027027027027027,0.0,0.4354838709677419,0.3571428571428571,0.4745762711864407,0.075
0.6666666666666666,0.51,0.5,1,0.027027027027027,0.0,0.4838709677419355,0.3928571428571428,0.5084745762711864,0.575
0.5,0.5,0.5,1,0.027027027027027,0.0,0.532258064516129,0.4285714285714286,0.5,0.45
0.3333333333333333,0.49,0.5,1,0.027027027027027,0.0,0.5483870967741935,0.25,0.4915254237288136,0.325
0.1666666666666666,0.49,0.5,1,0.027027027027027,0.0,0.4516129032258064,0.5,0.4830508474576271,0.35
0.1666666666666666,0.4709203834919026,0.5,1,0.054054054054054,0.0,0.5564516129032258,0.5714285714285714,0.4661016949152542,0.225
0.8333333333333333,0.5281631230887806,0.5,1,0.054054054054054,0.0,0.467741935483871,0.4642857142857143,0.5338983050847458,0.825
0.6666666666666667,0.5095398082540487,0.5,1,0.054054054054054,0.0,0.4596774193548387,0.5,0.5169491525423728,0.625
0.75,0.5195398082540487,0.5,1,0.054054054054054,0.0,0.564516129032258,0.4821428571428571,0.5254237288135594,0.775
0.6666666666666666,0.5104601917459513,0.5,1,0.054054054054054,0.0,0.467741935483871,0.4107142857142857,0.5169491525423728,0.6
0.5,0.4990815615443902,0.5,1,0.054054054054054,0.0,0.5483870967741935,0.625,0.5,0.525
0.4166666666666667,0.4895417532903415,0.5,1,0.054054054054054,0.0,0.5483870967741935,0.5892857142857143,0.4915254237288136,0.425
0.5,0.4995398082540487,0.5,1,0.054054054054054,0.0,0.3467741935483871,0.3928571428571428,0.5,0.6
0.8333333333333333,0.53,0.5,1,0.054054054054054,0.0,0.6209677419354839,0.6071428571428571,0.5338983050847458,0.825
0.4166666666666666,0.5004601917459514,0.5,1,0.054054054054054,0.0,0.3870967741935484,0.4642857142857143,0.4915254237288136,0.4
0.4444444444444444,0.493565787023939,0.5,1,0.081081081081081,0.0,0.4731182795698925,0.5,0.4915254237288136,0.3
0.5,0.5013805711129309,0.5,1,0.081081081081081,0.0,0.6290322580645161,0.4761904761904762,0.5,0.475
0.5555555555555556,0.5091060113385483,0.5,1,0.081081081081081,0.0,0.3978494623655914,0.5119047619047619,0.5084745762711864,0.7
0.5555555555555556,0.510460144802796,0.5,1,0.081081081081081,0.0,0.510752688172043,0.6071428571428571,0.5084745762711864,0.55
0.6666666666666667,0.5221869821477092,0.5,1,0.081081081081081,0.0,0.6612903225806451,0.5119047619047619,0.5254237288135594,0.725
0.6666666666666666,0.5204313880723143,0.5,1,0.081081081081081,0.0,0.4193548387096774,0.4523809523809524,0.5254237288135594,0.625
0.5555555555555556,0.5108762324190299,0.5,1,0.081081081081081,0.0,0.478494623655914,0.5476190476190477,0.5084745762711864,0.8
0.2222222222222222,0.4708973356352415,0.5,1,0.081081081081081,0.0,0.4247311827956989,0.3333333333333333,0.4576271186440678,0.35
0.5555555555555556,0.49776959162503,0.5,1,0.081081081081081,0.0,0.5161290322580645,0.5119047619047619,0.5084745762711864,0.575
0.6111111111111112,0.5113305324359493,0.5,1,0.081081081081081,0.0,0.4032258064516129,0.4404761904761905,0.5169491525423728,0.65
0.8333333333333334,0.5473569024893635,0.5,1,0.1081081081081081,0.0,0.6209677419354839,0.5714285714285714,0.5677966101694916,0.825
0.5,0.4974565801480963,0.5,1,0.1081081081081081,0.0,0.4637096774193548,0.5089285714285714,0.5,0.45
0.375,0.4788063575227246,0.5,1,0.1081081081081081,0.0,0.5524193548387096,0.4553571428571428,0.4745762711864407,0.35
0.4166666666666666,0.4895006317390056,0.5,1,0.1081081081081081,0.0,0.3830645161290322,0.4821428571428571,0.4830508474576271,0.3
0.2083333333333333,0.4511008086800042,0.5,1,0.1081081081081081,0.0,0.3508064516129032,0.3660714285714286,0.4406779661016949,0.1
0.5416666666666667,0.5070778449079093,0.5,1,0.1081081081081081,0.0,0.467741935483871,0.5357142857142857,0.5084745762711864,0.65
0.4166666666666666,0.4886701705608392,0.5,1,0.1081081081081081,0.0,0.6008064516129032,0.5357142857142857,0.4830508474576271,0.425
0.375,0.4817310347836412,0.5,1,0.1081081081081081,0.0,0.4758064516129032,0.4821428571428571,0.4745762711864407,0.375
0.25,0.4624431858471645,0.5,1,0.1081081081081081,0.0,0.4838709677419355,0.4732142857142857,0.4491525423728814,0.225
0.3333333333333333,0.4722737710454079,0.5,1,0.1081081081081081,0.0,0.4959677419354839,0.4107142857142857,0.4661016949152542,0.25
0.5,0.5019485523038587,0.5,1,0.1351351351351351,0.0,0.5064516129032258,0.5071428571428571,0.5,0.45
0.5,0.4988971200139994,0.5,1,0.1351351351351351,0.0,0.4419354838709677,0.5142857142857142,0.5,0.475
0.4666666666666667,0.4989603375579204,0.5,1,0.1351351351351351,0.0,0.5225806451612903,0.5642857142857143,0.4915254237288136,0.475
0.5666666666666667,0.5082155557365853,0.5,1,0.1351351351351351,0.0,0.5225806451612903,0.4357142857142857,0.5169491525423728,0.6
0.7666666666666666,0.5431539304091006,0.5,1,0.1351351351351351,0.0,0.5548387096774194,0.5785714285714285,0.5677966101694916,0.925
0.4666666666666667,0.4936544742425308,0.5,1,0.1351351351351351,0.0,0.4838709677419355,0.5071428571428571,0.4915254237288136,0.45
0.6333333333333333,0.5191376078788518,0.5,1,0.1351351351351351,0.0,0.5,0.5142857142857143,0.5338983050847458,0.675
0.5,0.4993477098021701,0.5,1,0.1351351351351351,0.0,0.4580645161290322,0.5214285714285715,0.5,0.575
0.6333333333333333,0.5242434169740124,0.5,1,0.1351351351351351,0.0,0.5419354838709678,0.6071428571428571,0.5338983050847458,0.725
0.2666666666666666,0.4647078587281577,0.5,1,0.1351351351351351,0.0,0.4741935483870968,0.3928571428571428,0.4406779661016949,0.25
0.4333333333333333,0.4922745726523162,0.5,1,0.1621621621621621,0.0,0.4548387096774193,0.4857142857142857,0.4915254237288136,0.425
0.2333333333333333,0.445601009452419,0.5,1,0.1621621621621621,0.0,0.3967741935483871,0.5071428571428571,0.4152542372881356,0.25
0.4666666666666667,0.4733080849083136,0.5,1,0.1621621621621621,0.0,0.5161290322580645,0.4214285714285714,0.4661016949152542,0.225
0.6666666666666666,0.5133286049261209,0.5,1,0.1621621621621621,0.0,0.5451612903225806,0.5214285714285715,0.5169491525423728,0.575
0.5333333333333333,0.5168498754732913,0.5,1,0.1621621621621621,0.0,0.532258064516129,0.5785714285714286,0.5169491525423728,0.7
0.5333333333333333,0.516144827777089,0.5,1,0.1621621621621621,0.0,0.4225806451612903,0.4857142857142857,0.5169491525423728,0.525
0.3666666666666667,0.4623093432637144,0.5,1,0.1621621621621621,0.0,0.3451612903225807,0.4214285714285714,0.4491525423728814,0.2
0.4333333333333333,0.506878491162359,0.5,1,0.1621621621621621,0.0,0.4516129032258064,0.4857142857142857,0.5084745762711864,0.6
0.6666666666666666,0.5357439139145649,0.5,1,0.1621621621621621,0.0,0.532258064516129,0.55,0.5508474576271186,0.775
0.4,0.482677005863211,0.5,1,0.1621621621621621,0.0,0.4645161290322581,0.4428571428571429,0.4745762711864407,0.425
0.6,0.5212488531837373,0.5,1,0.1891891891891892,0.0,0.4387096774193548,0.4142857142857142,0.5169491525423728,0.6
0.6,0.5345931932313738,0.5,1,0.1891891891891892,0.0,0.5709677419354839,0.4642857142857143,0.559322033898305,0.55
0.3333333333333333,0.4699457273348207,0.5,1,0.1891891891891892,0.0,0.4774193548387097,0.45,0.4576271186440678,0.3
0.4333333333333333,0.4642071626304802,0.5,1,0.1891891891891892,0.0,0.6258064516129032,0.4857142857142857,0.4491525423728814,0.3
0.5333333333333333,0.5100376362048832,0.5,1,0.1891891891891892,0.0,0.5193548387096775,0.5,0.5084745762711864,0.575
0.4333333333333333,0.4971871791910303,0.5,1,0.1891891891891892,0.0,0.4516129032258064,0.4928571428571428,0.5084745762711864,0.55
0.4666666666666667,0.5044889493337955,0.5,1,0.1891891891891892,0.0,0.5838709677419355,0.5357142857142857,0.5084745762711864,0.525
0.7333333333333334,0.5421096240738005,0.5,1,0.1891891891891892,0.0,0.6645161290322581,0.5714285714285714,0.576271186440678,0.875
0.4,0.4717065677133108,0.5,1,0.1891891891891892,0.0,0.4483870967741935,0.4714285714285714,0.4661016949152542,0.375
0.5,0.4744200197930665,0.5,1,0.1891891891891892,0.0,0.3870967741935484,0.4214285714285714,0.4661016949152542,0.3
0.3333333333333333,0.461908441468964,0.5,1,0.2162162162162162,0.0,0.5096774193548387,0.6214285714285714,0.4576271186440678,0.225
0.5,0.4950624860137039,0.5,1,0.2162162162162162,0.0,0.535483870967742,0.5571428571428572,0.4915254237288136,0.425
0.6333333333333333,0.5384016652814165,0.5,1,0.2162162162162162,0.0,0.4774193548387097,0.5357142857142857,0.5423728813559322,0.75
0.6666666666666666,0.5343772370650722,0.5,1,0.2162162162162162,0.0,0.6,0.5499999999999999,0.5508474576271186,0.725
0.5333333333333333,0.5094803387822593,0.5,1,0.2162162162162162,0.0,0.5225806451612903,0.55,0.5169491525423728,0.575
0.6333333333333333,0.5399977188319397,0.5,1,0.2162162162162162,0.0,0.4451612903225806,0.45,0.5677966101694916,0.75
0.6,0.528518820826093,0.5,1,0.2162162162162162,0.0,0.4225806451612903,0.5142857142857142,0.5254237288135594,0.65
0.5333333333333333,0.4976148052316367,0.5,1,0.2162162162162162,0.0,0.3774193548387097,0.4214285714285714,0.4830508474576271,0.45
0.1666666666666666,0.4189127453502865,0.5,1,0.2162162162162162,0.0,0.4741935483870967,0.5,0.3728813559322034,0.175
0.3666666666666667,0.4648457772151668,0.5,1,0.2162162162162162,0.0,0.3999999999999999,0.4285714285714286,0.4491525423728814,0.225
0.3333333333333333,0.4475288838759066,0.5,1,0.2432432432432432,0.0,0.5483870967741935,0.3642857142857143,0.423728813559322,0.125
0.5333333333333333,0.5351276955159137,0.5,1,0.2432432432432432,0.0,0.5838709677419355,0.6,0.5677966101694916,0.725
0.5666666666666667,0.4988718498585005,0.5,1,0.2432432432432432,0.0,0.5096774193548387,0.3071428571428571,0.4915254237288136,0.475
0.3333333333333333,0.4599672716489796,0.5,1,0.2432432432432432,0.0,0.5387096774193548,0.4785714285714286,0.4322033898305085,0.2
0.4333333333333333,0.4940829135501062,0.5,1,0.2432432432432432,0.0,0.5225806451612903,0.3714285714285714,0.5,0.6
0.3666666666666666,0.4710371124777835,0.5,1,0.2432432432432432,0.0,0.4064516129032258,0.4714285714285714,0.4576271186440678,0.375
0.3666666666666667,0.4756819768799367,0.5,1,0.2432432432432432,0.0,0.4903225806451612,0.45,0.4745762711864407,0.425
0.5333333333333333,0.5051290275665354,0.5,1,0.2432432432432432,0.0,0.5290322580645161,0.6857142857142857,0.5084745762711864,0.525
0.7,0.5703243470152871,0.5,1,0.2432432432432432,0.0,0.5580645161290323,0.4785714285714285,0.6101694915254238,0.75
0.4666666666666667,0.4723999791679463,0.5,1,0.2432432432432432,0.0,0.5161290322580645,0.5071428571428571,0.4745762711864407,0.4
0.5333333333333333,0.4967423950724765,0.5,1,0.2702702702702703,0.0,0.467741935483871,0.4857142857142857,0.5,0.525
0.4666666666666667,0.5133176642549516,0.5,1,0.2702702702702703,0.0,0.5741935483870968,0.7714285714285715,0.5338983050847458,0.725
0.3,0.4142167934383239,0.5,1,0.2702702702702703,0.0,0.5516129032258065,0.5642857142857143,0.3559322033898305,0.15
0.7,0.5343014087810871,0.5,1,0.2702702702702703,0.0,0.5225806451612903,0.4142857142857142,0.5423728813559322,0.65
0.8666666666666667,0.5714080711422598,0.5,1,0.2702702702702703,0.0,0.6387096774193548,0.6357142857142857,0.6186440677966102,0.9
0.5333333333333333,0.5109395838886871,0.5,1,0.2702702702702703,0.0,0.4451612903225806,0.5071428571428571,0.5084745762711864,0.525
0.5,0.5180523336116764,0.5,1,0.2702702702702703,0.0,0.532258064516129,0.5785714285714285,0.5338983050847458,0.75
0.1999999999999999,0.4244147281093191,0.5,1,0.2702702702702703,0.0,0.367741935483871,0.4428571428571428,0.3728813559322034,0.1
0.3666666666666666,0.4733521717414511,0.5,1,0.2702702702702703,0.0,0.4258064516129032,0.3571428571428571,0.4576271186440678,0.4
0.4666666666666667,0.4822366634140351,0.5,1,0.2702702702702703,0.0,0.5548387096774193,0.6142857142857143,0.4830508474576271,0.425
0.4333333333333333,0.4927927144566905,0.5,1,0.2972972972972973,0.0,0.532258064516129,0.5357142857142857,0.5169491525423728,0.525
0.5666666666666667,0.4957654450467483,0.5,1,0.2972972972972973,0.0,0.464516129032258,0.4857142857142857,0.4915254237288136,0.4
0.7666666666666666,0.5434796860580456,0.5,1,0.2972972972972973,0.0,0.6096774193548388,0.6,0.5677966101694916,0.6
0.5333333333333333,0.4810819042725008,0.5,1,0.2972972972972973,0.0,0.4483870967741936,0.35,0.4661016949152542,0.275
0.4,0.4889154969781178,0.5,1,0.2972972972972973,0.0,0.4612903225806452,0.35,0.4745762711864407,0.45
0.7,0.5313825926273659,0.5,1,0.2972972972972973,0.0,0.5548387096774193,0.3857142857142857,0.5508474576271186,0.55
0.4,0.4771351257489368,0.5,1,0.2972972972972973,0.0,0.4741935483870967,0.4642857142857143,0.4745762711864407,0.4
0.3666666666666667,0.4921867797783633,0.5,1,0.2972972972972973,0.0,0.4903225806451612,0.6285714285714286,0.4830508474576271,0.4
0.5666666666666667,0.5197891674895968,0.5,1,0.2972972972972973,0.0,0.4258064516129032,0.4214285714285714,0.5169491525423728,0.525
0.5333333333333333,0.5332807749108008,0.5,1,0.2972972972972973,0.0,0.4354838709677419,0.35,0.5508474576271186,0.575
0.3999999999999999,0.4354186333563795,0.5,1,0.3243243243243243,0.5,0.4774193548387097,0.4,0.4067796610169492,0.225
0.4333333333333333,0.4859224909286196,0.5,1,0.3243243243243243,0.5,0.5,0.5071428571428571,0.4915254237288136,0.45
0.6333333333333333,0.5528770031697954,0.5,1,0.3243243243243243,0.5,0.5548387096774193,0.7642857142857142,0.576271186440678,0.85
0.3666666666666667,0.4870872234729967,0.5,1,0.3243243243243243,0.5,0.4935483870967742,0.5428571428571428,0.5,0.55
0.7,0.5437334327896085,0.5,1,0.3243243243243243,0.5,0.5193548387096774,0.5571428571428572,0.559322033898305,0.625
0.5,0.473042355612118,0.5,1,0.3243243243243243,0.5,0.4709677419354838,0.4,0.4406779661016949,0.3
0.3,0.4859467834048454,0.5,1,0.3243243243243243,0.5,0.5774193548387097,0.6857142857142857,0.4915254237288136,0.475
0.1999999999999999,0.4042862038619691,0.5,1,0.3243243243243243,0.5,0.3483870967741935,0.4,0.3389830508474576,0.25
0.5666666666666667,0.5088073441068431,0.5,1,0.3243243243243243,0.5,0.4290322580645161,0.4642857142857143,0.5084745762711864,0.55
0.3666666666666667,0.472121299391781,0.5,1,0.3243243243243243,0.5,0.5419354838709678,0.5714285714285714,0.4661016949152542,0.4
0.3333333333333333,0.4403552532259394,0.5,1,0.3513513513513513,0.5,0.3580645161290322,0.2,0.3898305084745763,0.25
0.6666666666666667,0.5138597832888269,0.5,1,0.3513513513513513,0.5,0.5290322580645161,0.5785714285714286,0.5254237288135594,0.65
0.8666666666666667,0.5751517025751111,0.5,1,0.3513513513513513,0.5,0.5903225806451613,0.5428571428571428,0.6101694915254238,0.825
0.7333333333333334,0.6124683796900463,0.5,1,0.3513513513513513,0.5,0.5580645161290323,0.5714285714285714,0.6864406779661016,0.825
0.5333333333333333,0.5109855727393087,0.5,1,0.3513513513513513,0.5,0.4870967741935484,0.4857142857142857,0.5084745762711864,0.55
0.4,0.4982782046832353,0.5,1,0.3513513513513513,0.5,0.4838709677419355,0.4928571428571429,0.5084745762711864,0.525
0.7666666666666666,0.5904224545401031,0.5,1,0.3513513513513513,0.5,0.5580645161290323,0.4785714285714285,0.6271186440677966,0.875
0.5666666666666667,0.5183735482497712,0.5,1,0.3513513513513513,0.5,0.5161290322580645,0.5071428571428571,0.5254237288135594,0.625
0.5333333333333333,0.4478292962924031,0.5,1,0.3513513513513513,0.5,0.5096774193548387,0.3999999999999999,0.4322033898305085,0.25
0.5,0.5097305871339971,0.5,1,0.3513513513513513,0.5,0.5612903225806452,0.5214285714285715,0.5084745762711864,0.6
0.5,0.5187479007837011,0.5,1,0.3783783783783784,0.5,0.4225806451612903,0.4571428571428571,0.5169491525423728,0.575
0.3666666666666667,0.4439241749920941,0.5,1,0.3783783783783784,0.5,0.3419354838709677,0.2928571428571429,0.4067796610169492,0.35
0.6666666666666666,0.5435572897176253,0.5,1,0.3783783783783784,0.5,0.5967741935483871,0.4857142857142857,0.5932203389830508,0.775
