Date,Season,HomeTeam,AwayTeam,HomeGoals,AwayGoals,HomeXG,AwayXG,UnderstatID,FullTimeResult,XG_Diff,Total_XG,Home_GoalsVsXG,Away_GoalsVsXG
2019-08-31 15:00:00,2019-2020,Chelsea,Sheffield United,2,2,2.30579,1.04649,11675,D,1.2593,3.35228,0.8673816782968093,1.911150608223681
2019-08-31 15:00:00,2019-2020,West Ham,Norwich,2,0,2.20657,1.1674,11674,H,1.03917,3.37397,0.906384116524742,0.0
2019-08-31 17:30:00,2019-2020,Burnley,Liverpool,0,3,0.61739,1.20057,11680,A,-0.5831799999999999,1.81796,0.0,2.4988130637946977
2019-09-01 14:00:00,2019-2020,Everton,Wolves,3,2,1.48842,2.00172,11681,H,-0.5133000000000001,3.49014,2.015560124158504,0.9991407389644904
2019-09-01 16:30:00,2019-2020,Arsenal,Tottenham,2,2,1.92509,1.95514,11682,D,-0.0300500000000001,3.88023,1.038912466430141,1.0229446484650715
2019-09-14 11:30:00,2019-2020,Liverpool,Newcastle,3,1,2.93281,0.291073,11683,H,2.641737,3.223883,1.0229097691292652,3.4355642742542245
2019-09-14 14:00:00,2019-2020,Wolves,Chelsea,2,5,1.49359,3.06799,11688,A,-1.5744,4.56158,1.3390555641106328,1.6297315180297198
2019-09-14 14:00:00,2019-2020,Tottenham,Crystal Palace,4,0,1.04944,0.577323,11687,H,0.4721169999999999,1.626763,3.8115566397316663,0.0
2019-09-14 14:00:00,2019-2020,Brighton,Burnley,1,1,1.68545,0.341654,11685,D,1.3437959999999998,2.027104,0.5933133584502656,2.9269377791566904
2019-09-14 14:00:00,2019-2020,Man United,Leicester,1,0,1.10019,0.459141,11684,H,0.641049,1.559331,0.908933911415301,0.0
2019-09-14 14:00:00,2019-2020,Sheffield United,Southampton,0,1,1.88034,1.57659,11686,A,0.3037499999999999,3.45693,0.0,0.6342803138418993
2019-09-14 16:30:00,2019-2020,Norwich,Man City,3,2,1.7413,2.34436,11689,H,-0.6030599999999999,4.08566,1.7228507436972376,0.8531112968997936
2019-09-15 13:00:00,2019-2020,Bournemouth,Everton,3,1,1.41542,1.50641,11690,H,-0.0909900000000001,2.92183,2.119512229585565,0.663829900226366
2019-09-15 15:30:00,2019-2020,Watford,Arsenal,2,2,2.83209,1.00616,11691,D,1.82593,3.83825,0.7061922467153233,1.9877554265723147
2019-09-16 19:00:00,2019-2020,Aston Villa,West Ham,0,0,1.40502,0.535279,11692,D,0.869741,1.940299,0.0,0.0
